08:00:32:  自动播放
08:00:47:  新建文件夹 (3)
08:01:12:  2-财务分配 - 张开发 - 印象笔记
08:01:52:  1-记录 - 张开发 - 印象笔记
08:01:57:  2-财务分配 - 张开发 - 印象笔记
08:02:47:  新建文件夹 (3)
08:02:52:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:03:58:  Plate.c - trunk - Visual Studio Code [管理员]
08:04:28:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:04:43:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:05:38:  新建文本文档.exe - 快捷方式
08:05:43:  锁屏状态
08:05:48:  新标签页 - Google Chrome
08:05:53:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:06:03:  https://accounts.binancezh.pro/cn/verification-register/email?email=7405803%40yopmail.com - Google Chrome
08:06:13:  历史记录 - Google Chrome
08:06:28:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:06:33:  YOPmail - Google Chrome
08:07:03:  新标签页 - Google Chrome
08:07:08:  YOPmail - Mail viewer - Google Chrome
08:07:18:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:07:23:  Save Before Run or Check
08:07:28:  Python 3.7.3 Shell
08:07:33:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:07:38:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:08:13:  无标题 - Google Chrome
08:08:23:  www.yopmail.com/zh/m.php?b=3042981586&id=me_ZwNkZGVmZGR1BQV5ZQNjZmVkZmVkAt== - Google Chrome
08:08:28:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:08:43:  YOPmail - Google Chrome
08:08:48:  YOPmail - Mail viewer - Google Chrome
08:09:08:  YOPmail - Google Chrome
08:09:58:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:10:08:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:10:58:  Save Before Run or Check
08:11:03:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:11:08:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:11:28:  无标题 - Google Chrome
08:11:33:  锁屏状态
08:11:38:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:12:03:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:12:08:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
08:13:23:  data:, - Google Chrome
08:13:28:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:13:43:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:14:03:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:14:13:  跳转列表
08:14:33:  *Python 3.7.3 Shell*
08:14:38:  无标题 - Google Chrome
08:14:43:  www.yopmail.com/zh - Google Chrome
08:14:48:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:14:53:  跳转列表
08:15:03:  data:, - Google Chrome
08:14:13:  跳转列表
08:14:33:  *Python 3.7.3 Shell*
08:14:38:  无标题 - Google Chrome
08:14:43:  www.yopmail.com/zh - Google Chrome
08:14:48:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
08:14:53:  跳转列表
08:15:03:  data:, - Google Chrome
08:15:13:  *Python 3.7.3 Shell*
08:15:18:  Python 3.7.3 Shell
08:15:28:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
08:15:33:  百度一下，你就知道 - Google Chrome
08:15:38:  webdriver中的等待——主要讲解WebDriverWait()_持之以恒，脚踏实地-CSDN博客_webdriverwait - Google Chrome
08:15:43:  (4条消息) webdriver中的等待——主要讲解WebDriverWait()_持之以恒，脚踏实地-CSDN博客_webdriverwait - Google Chrome
08:16:03:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
